"","n_original","n_replication","p_reorder","progress","rep","id","logl","unrestricted.logl","baseline.logl","nvar","nobs","npar","df","objective","chisq","pvalue","baseline.chisq","baseline.npar","baseline.df","baseline.pvalue","nfi","pnfi","tli","nnfi","rfi","ifi","rni","cfi","rmsea","rmsea.ci.lower","rmsea.ci.upper","rmsea.pvalue","aic.ll","aic.ll2","aic.x","aic.x2","bic","bic2","ebic.25","ebic.5","ebic.75","ebic1","sensitivity","specificity","correlation","bias","true_pos","false_pos","true_neg","false_neg","type","error","errorMessage"
"1",907,300,0.3,FALSE,72,1,-14638.2928321231,-13988.5712201967,-17483.6708462559,41,902,404,498,22.2356591580378,1299.44322385285,7.56060052768075e-73,6990.19925211845,82,820,0,0.814104980847428,0.494419854221975,0.78612595556917,0.78612595556917,0.693907799788938,0.876552891750613,0.870110641309081,0.870110641309081,0.0732421495833379,0.0683835231638596,0.0781276176806675,1.81188397618826e-13,30084.5856642463,26968.0142356748,303.443223852853,2107.44322385285,31580.9137840074,30299.6644318052,33081.1968989559,34581.4800139045,35781.7065058633,37582.0462438015,0.136363636363636,0.944444444444444,-0.0904942512487086,0.0403218727517701,3,1,17,19,"semi",FALSE,""
"2",907,400,0.1,FALSE,74,2,-19488.019491487,-18985.2928970768,-23227.3446540521,41,902,435,467,22.087137734652,1005.45318882052,1.5638162603486e-41,8484.10351395059,82,820,0,0.881489754672697,0.502019165161158,0.876637386015974,0.876637386015974,0.791909205206877,0.932836941935008,0.929743486913975,0.929743486913975,0.0536890279056586,0.0491308027585787,0.0582468768605436,0.0906025512319741,39846.0389829741,29309.3723163074,71.4531888205165,1875.45318882052,41582.326060966,40202.042225322,43197.7299099824,44813.1337589988,46105.4568382119,48043.9414570315,0.181818181818182,1,0.713704895034484,0.0218326628904456,4,0,18,18,"semi",FALSE,""
"3",907,100,0.1,FALSE,1,3,-4747.8798377132,-4368.79414179881,-5797.75213131331,41,902,426,476,19.6046370314808,758.171391828788,2.9719997680567e-15,2857.91597902901,82,820,4.86661296197809e-223,0.734711797900237,0.426491238781113,0.761475164255573,0.761475164255573,0.542990912349149,0.88153595915511,0.861539241689821,0.861539241689821,0.0769933141030517,0.0665918213306081,0.0871095178975457,3.09151859401169e-05,10347.7596754264,9235.2092167108,-193.828608171212,1610.17139182879,11457.5621746573,10112.1471621573,13039.5438750734,14621.5255754894,15887.1109358222,17785.4889763215,0.136363636363636,0.888888888888889,0.458189229699273,0.0392189397244779,3,2,16,19,"semi",FALSE,""
"4",907,400,0,FALSE,63,4,-19153.318932321,-18899.4456083555,-23155.9509769712,41,902,430,472,20.4136349388218,507.746647930981,0.123660150360386,8513.01073723142,82,820,0,0.940356395216282,0.541278315295226,0.991927448243746,0.991927448243746,0.896381873045235,0.995554458376051,0.995353360452498,0.995353360452498,0.0137599440026646,0,0.0223367498066837,1,39166.637864642,27209.8636710936,-436.253352069019,1367.74664793098,40882.9676198984,39518.5491156986,42479.8036085813,44076.6395972641,45354.1083882104,47270.3115746298,0.227272727272727,1,0.730319486004806,0.0216900546620592,5,0,18,17,"semi",FALSE,""
"5",907,400,0,FALSE,74,5,-19231.9812068507,-18945.8457601256,-23384.3121025838,41,902,426,476,20.8069463114705,572.270893450288,0.00157421212507809,8876.93268491641,82,820,0,0.935532811415515,0.543065388089982,0.979415886549672,0.979415886549672,0.888943078488912,0.988540451749704,0.988051173167858,0.988051173167858,0.0224860943783078,0.0145319093328741,0.0290385078292991,1,39315.9624137015,25841.7401914792,-379.729106549712,1424.27089345029,41016.3263107695,39664.6000717249,42598.3080111855,44180.2897116015,45445.8750719344,47344.2531124336,0.181818181818182,1,0.583266300017875,0.0245663336712076,4,0,18,18,"semi",FALSE,""
"6",907,100,0.1,FALSE,65,6,-4588.35086492034,-4231.7327583171,-5813.49754366478,41,902,440,462,16.4140575756237,713.236213206474,4.82495130948707e-13,3163.52957069535,82,820,2.25783627054507e-271,0.774544161112519,0.436389515163395,0.809724146880375,0.809724146880375,0.599840285957284,0.907002234611184,0.892795799827723,0.892795799827723,0.0737428862526237,0.0629273125574104,0.0841923545350849,0.000311619628988624,10056.7017298407,8918.63721371165,-210.763786793526,1593.23621320647,11202.9766116754,9813.34608233266,12836.9483210253,14470.9200303752,15778.0973978551,17738.863449075,0.136363636363636,1,0.438989666948181,0.0342386180635439,3,0,18,19,"semi",FALSE,""
"7",907,500,0.1,FALSE,46,7,-24502.1314352481,-23895.286721936,-29239.8418598172,41,902,447,455,22.6555660182091,1213.68942662406,2.44317073935428e-70,10689.1102757623,82,820,0,0.886455523863748,0.491874711412202,0.861455756496046,0.861455756496046,0.795370394655546,0.925866596491453,0.923124840494757,0.923124840494757,0.0577485807493767,0.0538289637152046,0.0616925145361145,0.000649804605045712,49898.2628704961,57600.41671665,303.689426624056,2107.68942662406,51782.1926904909,50363.3870618328,53442.1594043077,55102.1261181245,56430.099489178,58422.0595457582,0.272727272727273,1,0.868455061743593,0.0164216842874269,6,0,18,16,"semi",FALSE,""
"8",907,500,0,FALSE,80,8,-23953.4867509071,-23681.246709333,-28996.1857714998,41,902,402,500,20.4609872808453,544.480083148315,0.082592181772895,10629.8781243337,82,820,0,0.94877833247195,0.578523373458506,0.992563889638722,0.992563889638721,0.915996465253997,0.995609020898142,0.995465786365074,0.995465786365074,0.013338678067682,0,0.0205078516836426,1,48710.9735018143,52051.3033987215,-455.519916851685,1348.48008314832,50405.24595738,49129.2731101305,51898.1019281951,53390.9578990102,54585.2426756623,56376.6698406405,0.227272727272727,0.944444444444444,0.652917268176844,0.0257065808587644,5,1,17,17,"semi",FALSE,""
"9",907,200,0.3,FALSE,38,9,-9853.49429221096,-9309.76845316879,-11697.8142157592,41,902,412,490,23.1819831993265,1087.45167808435,2.54024815393805e-47,4776.09152518087,82,820,0,0.772313475914144,0.461504394143818,0.747271495724214,0.747271495724214,0.618973571937955,0.860606878183933,0.848979308420567,0.848979308420567,0.0780797393357473,0.0718427158113928,0.084323815063403,1.01996189272313e-12,20530.9885844219,18933.2796642341,107.451678084348,1911.45167808435,21889.8953394397,20584.6366976479,23419.8870309219,24949.8787224041,26173.8720755898,28009.8621053684,0.136363636363636,0.944444444444444,0.25726260839457,0.0352833771215538,3,1,17,19,"semi",FALSE,""
"10",907,300,0.1,FALSE,41,10,-14492.0194259436,-14112.9760702307,-17378.8232215153,41,902,437,465,21.2605031168407,758.086711425723,2.08669496090395e-16,6531.69430256919,82,820,0,0.8839372027672,0.501257072300912,0.909511774416621,0.909511774416621,0.795330121008826,0.951689223684535,0.948686555004548,0.948686555004548,0.045836448490478,0.0398561726536763,0.0516736719627132,0.87720326757427,29858.0388518871,27084.0388518871,-171.913288574277,1632.08671142572,31476.5917933119,30090.6859346179,33099.4227864617,34722.2537796115,36020.5185741313,37967.915765911,0.181818181818182,0.944444444444444,0.000127845911463776,0.0441842766233312,4,1,17,18,"semi",FALSE,""
"11",907,500,0.3,FALSE,4,11,-24889.7730432031,-23992.2548424724,-29618.1521295592,41,902,419,483,24.2061324500291,1795.0364014614,5.685597297875e-150,11251.7945741737,82,820,0,0.840466657151601,0.495055360249053,0.786472615806804,0.786472615806804,0.729156643611414,0.87816311357559,0.874227162725227,0.874227162725227,0.0737079571417493,0.0700826941965304,0.0773664000601811,1.9773072068574e-13,50617.5460864061,55017.0460864061,829.036401461402,2633.0364014614,52383.466879645,51053.5349816412,53939.4535755941,55495.4402715433,56740.2296283025,58607.4136634415,0.409090909090909,0.944444444444444,0.605845328696525,0.0279728308299813,9,1,17,13,"semi",FALSE,""
