"gad1","gad2","gad3","gad4","gad5","gad6","gad7","phq1","phq2","phq3","phq4","phq5","phq6","phq7","phq8","phq9","smpd1","smpd2","smpd3","smpd4","smpd5","smpd6","smpd7","smpd8","smpd9","smpd10","smsp1","smsp2","smsp3","smsp4","smsp5","smsp6","smsp7","smsp8","smsp9","smsp10","docs_con","docs_res","docs_ut","docs_sym","tpess"
0,0.255133118771335,0.204661513935922,0.0775976717141544,0.0184600605005606,0.0527339365060711,0.0663459227434893,0,0.0688233891517453,0,0,0,0.0182867015114726,0,0,0,0.0207408920937765,0.0149067693433884,0,0.00791073348750145,0.0508117747920896,0,0,0,0.0114382640893045,0,0,0.0148146777621518,0.0494215346256772,0.0187719338343357,0.0110495885183441,0,0,0,0,0,0,0.00407720927797349,0,0,0
0.255133118771335,0,0.345192466031116,0.107958174188231,0.0288974258234854,0,0.103005642100514,0,0.0901081005256911,0,0,0,0.00248911505850122,0,0,0,0.0107347306914751,0,0,0,0,0,0,0,0,0,0.0138827377910975,0,0.0389979563765209,0,0,0,0,0.0175432948027989,0,0,0,0.0605957656815485,0,0.00440726965024183,0.037966348940769
0.204661513935922,0.345192466031116,0,0.17067059133946,0.0243064169457469,0.0160170982620749,0.0952612307990159,0,0,0,0.0342316728592142,0,0.0383748453757393,0,0,0,0,0.00529988816936098,0,0,0,0.00280209423940667,0,0,0.000709416969883203,0,0.0175037702097734,0.032066765900233,0.0280215064715933,0.011929539621596,0,0,0,0,0.00421158982340511,-0.00386824809149817,0,0.0161835635957234,0,0.0204947627897415,0.0133721863174265
0.0775976717141544,0.107958174188231,0.17067059133946,0,0.156567547474363,0.10807037348427,0.0439448990921626,0,0.0750684608267254,0.00801434797435579,0.0616030592528188,0,0,0.0673101669599466,0,0,0.00200348310234889,0,0,0,0.120387053726013,0,0,0,0,0,0,0,0,0,0.00426339378456925,0,0,0,0,0,0,0,0.00131469615881515,0,0.0403456330865716
0.0184600605005606,0.0288974258234854,0.0243064169457469,0.156567547474363,0,0.100447128807933,0,0.0492169125748582,0,0.0133349182029549,0.0662694035873509,0,0,0.100248643559885,0.117714294041187,0,0,0,0.0213240028717175,0,0.0299949900612941,0,0,0.000803102485252334,0,0.0148948623716156,0,0,0,0,0,0,0,0,0,0,0,0.0492612956467411,0,0.0189332659934829,0
0.0527339365060711,0,0.0160170982620749,0.10807037348427,0.100447128807933,0,0.0634235082343828,0.0871589364632454,0.031481460987555,0.0303138886737842,0.0996140551912318,0.0607941830204499,0,0.00169180356934986,0.0282899623565043,0,0,0,0,0.0289320537569657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664004324911916,0,0,0,0.0402106190509794
0.0663459227434893,0.103005642100514,0.0952612307990159,0.0439448990921626,0,0.0634235082343828,0,0.0221898825702704,0.0535771813721359,0,0,0,0.0327462176783725,0,0.0104898967911338,0,0.032300188711808,0,0,0.0156275719972507,0,0.00289970106259272,0,0.0338023596751057,0.024782226320946,0,0,0,0,0,0,0,0,0,0,0,0,0.173199846052592,0.0193388060522748,0.0218829234926938,0.113705164885698
0,0,0,0,0.0492169125748582,0.0871589364632454,0.0221898825702704,0,0.182854559294329,0.0663666116763013,0.11685489191446,0,0,0.134906474838678,0.05789871831303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00839320251022037,0,0.0416913866381515
0.0688233891517453,0.0901081005256911,0,0.0750684608267254,0,0.031481460987555,0.0535771813721359,0.182854559294329,0,0.0217293488930603,0.0722408543893637,0.017706993151052,0.18621021156179,0.035321921136545,0.0139892258818224,0.153429260273572,0.00694451436674914,0,0.0312868775113775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405683411828249,0,0.0410616894003663
0,0,0,0.00801434797435579,0.0133349182029549,0.0303138886737842,0,0.0663666116763013,0.0217293488930603,0,0.274713016198415,0.153555704505854,0,0.0402224922038878,0,0,0,0,0,0,0.18660965073591,0,0,0,0,0,0,0,0,0,0,0.00584077200571158,0,0,0,0,0,0,0,0,0.00629313211399684
0,0,0.0342316728592142,0.0616030592528188,0.0662694035873509,0.0996140551912318,0,0.11685489191446,0.0722408543893637,0.274713016198415,0,0.157258498529781,0.0435884681837641,0.0436935755512913,0,0,0,0,0,0,0.00436249946608866,0,0,0,0,0,0,0.0121212342824631,0.0488073859506658,0.0149582761544467,0,0.00571069073979089,0.0062650000637253,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0607941830204499,0,0,0.017706993151052,0.153555704505854,0.157258498529781,0,0.109690220294354,0.0592244548298941,0.125464628700513,0.006506450938685,0,0,0,0,0.0455026459612952,0.00908698287183333,0,0,0,0.020295792571966,0,0,0,0,0.00120571204222022,0.010526640621468,0,0,0.0254738672433481,0.0158392926112834,0,0,0,0,0
0.0182867015114726,0.00248911505850122,0.0383748453757393,0,0,0,0.0327462176783725,0,0.18621021156179,0,0.0435884681837641,0.109690220294354,0,0.0635391417484335,0,0.170416325350191,0,0,0,0,0,0,0,0,0,0,0,0,0.0378152086852587,0,0,0,0,0,0.0589403026853456,0,0,0,0.0328512916724158,0,0.221064980917698
0,0,0,0.0673101669599466,0.100248643559885,0.00169180356934986,0,0.134906474838678,0.035321921136545,0.0402224922038878,0.0436935755512913,0.0592244548298941,0.0635391417484335,0,0.125615365517991,0,0,0,0,0,0,0,0,0,0,0,0.00422705405794137,0,0,0,0,0,0,0,0.0349186423070548,0.00789175531049093,0,0.0143600218920491,0.0440802459862284,0,0.112507907928371
0,0,0,0,0.117714294041187,0.0282899623565043,0.0104898967911338,0.05789871831303,0.0139892258818224,0,0,0.125464628700513,0,0.125615365517991,0,0.138949578409718,0,0,0,0,0,0.0330923477439498,0,0.0125938265285739,0,0.0996125157415861,0,0,0,0.0148476998444052,0,0,0,0,0.0138733146720328,0.0318454670357044,0,0,0.00324155014027083,0.048190677293472,0
0,0,0,0,0,0,0,0,0.153429260273572,0,0,0.006506450938685,0.170416325350191,0,0.138949578409718,0,0,0,0.137753761898846,0,0,0,0.00917914431697641,0,0,0,0,0,0.000108834798579554,0,0,0,0,0,0,0,-0.0115243386058646,0,0,0,0.105426377318868
0.0207408920937765,0.0107347306914751,0,0.00200348310234889,0,0,0.032300188711808,0,0.00694451436674914,0,0,0,0,0,0,0,0,0.31258370193374,0.11333941651057,0.122093112770657,0.0212119898618119,0.0236088053132334,0.0821914902656547,0.0366843091844907,0.0837343249402869,0.0689565204905441,0.0218140238295494,-0.0337106176585859,0,0,0,0,0,0,0,0,0,0,0.0169431131956605,0,0
0.0149067693433884,0,0.00529988816936098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31258370193374,0,0.245750220621253,0.0812672891068309,0,0.0605731257356093,0.0160120952884945,0.000707773831137018,0.119947370658235,0.0115232067337756,0,0,-0.0230718549572227,0,0,0,0,0,0,0.0221432383973035,0,0,0.012572822549113,0,0
0,0,0,0,0.0213240028717175,0,0,0,0.0312868775113775,0,0,0,0,0,0,0.137753761898846,0.11333941651057,0.245750220621253,0,0.0795375893916774,0,0.066471940458138,0.0740413769443463,0.0129313039478682,0.0998524462042901,0.0918318453755334,0,-0.00483762210346012,0,0,0,0,0,0,0,0.0475609688356686,0,0,0,0.0125109268128967,0
0.00791073348750145,0,0,0,0,0.0289320537569657,0.0156275719972507,0,0,0,0,0,0,0,0,0,0.122093112770657,0.0812672891068309,0.0795375893916774,0,0.288982102038789,0.0271386423489762,0.029593347433869,0.0394209659586116,0.0429266210373588,0.0191686830540055,0,0,0,0.169241957766066,0,0,0,0,0,0,0,0,0,0,0
0.0508117747920896,0,0,0.120387053726013,0.0299949900612941,0,0,0,0,0.18660965073591,0.00436249946608866,0.0455026459612952,0,0,0,0,0.0212119898618119,0,0,0.288982102038789,0,0.0437844962985657,0,0.0310136949019974,0,0.0339049128971141,0,0,0,0,0.132102408720478,0,0,0,0,0,0.00870543503752362,0,0,0,0
0,0,0.00280209423940667,0,0,0,0.00289970106259272,0,0,0,0,0.00908698287183333,0,0,0.0330923477439498,0,0.0236088053132334,0.0605731257356093,0.066471940458138,0.0271386423489762,0.0437844962985657,0,0.239158136874437,0.234581140046442,0.106498805880811,0.119677215563214,0.0524898730254109,0,0,0.00178733834663075,0,0,0,0,0,0.00867324226226792,0,0,0.019561474341869,0,0.0161659606838468
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917914431697641,0.0821914902656547,0.0160120952884945,0.0740413769443463,0.029593347433869,0,0.239158136874437,0,0.160059744369677,0.0537421751768023,0.0641170324167934,0.00843949555764559,0,0,0,0,0.0437374217832873,0.0278399452405992,0,0,0.0994454729290266,0,0,0,0,0
0,0,0,0,0.000803102485252334,0,0.0338023596751057,0,0,0,0,0,0,0,0.0125938265285739,0,0.0366843091844907,0.000707773831137018,0.0129313039478682,0.0394209659586116,0.0310136949019974,0.234581140046442,0.160059744369677,0,0.288459898652452,0.0265243682871907,0,0,0,0,0,0,0,0.00423743542161313,0,0.0645219260396279,0,0.0177880980194183,0.00782312998122616,0.00285902094680879,0.0429787231733152
0.0114382640893045,0,0.000709416969883203,0,0,0,0.024782226320946,0,0,0,0,0,0,0,0,0,0.0837343249402869,0.119947370658235,0.0998524462042901,0.0429266210373588,0,0.106498805880811,0.0537421751768023,0.288459898652452,0,0.158687911940478,0,0,0,0,0,0,0,0,0.0365587388932957,0,0,0,0.0179068620873513,0.0165182160687004,0.00516564104257447
0,0,0,0,0.0148948623716156,0,0,0,0,0,0,0.020295792571966,0,0,0.0996125157415861,0,0.0689565204905441,0.0115232067337756,0.0918318453755334,0.0191686830540055,0.0339049128971141,0.119677215563214,0.0641170324167934,0.0265243682871907,0.158687911940478,0,0,-0.0179040480768548,0,0,0,0,-0.00693961944840793,0,0,0.23445378148408,0,0,0.00861690711884821,0.00682873650203115,0
0,0.0138827377910975,0.0175037702097734,0,0,0,0,0,0,0,0,0,0,0.00422705405794137,0,0,0.0218140238295494,0,0,0,0,0.0524898730254109,0.00843949555764559,0,0,0,0,0.203162368972813,0.118788391805105,0.147766678704583,0.0911081343514597,0.01648611845066,0.0230008535971601,0,0.0795560505430439,0.0475701319397847,0,0,0,0.0158464706521664,0.0394447498626879
0.0148146777621518,0,0.032066765900233,0,0,0,0,0,0,0,0.0121212342824631,0,0,0,0,0,-0.0337106176585859,0,-0.00483762210346012,0,0,0,0,0,0,-0.0179040480768548,0.203162368972813,0,0.264092522531714,0.0422227115107273,0.160865944246239,0.189690311342822,0.035194331181667,0.162382296202719,0.0168654011221112,0,0,0,0,0,0
0.0494215346256772,0.0389979563765209,0.0280215064715933,0,0,0,0,0,0,0,0.0488073859506658,0,0.0378152086852587,0,0,0.000108834798579554,0,-0.0230718549572227,0,0,0,0,0,0,0,0,0.118788391805105,0.264092522531714,0,0.00100093536861821,0.0534860096148801,0.00834949497154553,0,0.224244831413042,0.0578547574054303,0,0,0.0173268738694363,0,0,0.0904527399406727
0.0187719338343357,0,0.011929539621596,0,0,0,0,0,0,0,0.0149582761544467,0,0,0,0.0148476998444052,0,0,0,0,0.169241957766066,0,0.00178733834663075,0,0,0,0,0.147766678704583,0.0422227115107273,0.00100093536861821,0,0.351568271662553,0,0.0461082895286737,0.0746879269413748,0.0712803828809591,0.0245525432054474,0,0,0,0,0
0.0110495885183441,0,0,0.00426339378456925,0,0,0,0,0,0,0,0.00120571204222022,0,0,0,0,0,0,0,0,0.132102408720478,0,0,0,0,0,0.0911081343514597,0.160865944246239,0.0534860096148801,0.351568271662553,0,0.0737555967405659,0,0.0436264845138736,0.0931815274861907,0.0868217790866406,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.00584077200571158,0.00571069073979089,0.010526640621468,0,0,0,0,0,0,0,0,0,0,0.0437374217832873,0,0,0,0.01648611845066,0.189690311342822,0.00834949497154553,0,0.0737555967405659,0,0.372421747141942,0.0496950343822143,0.154907664001964,0.0198898317818315,0.00333594627024323,0,0,0,0.0146376179339794
0,0,0,0,0,0,0,0,0,0,0.0062650000637253,0,0,0,0,0,0,0,0,0,0,0,0.0278399452405992,0,0,-0.00693961944840793,0.0230008535971601,0.035194331181667,0,0.0461082895286737,0,0.372421747141942,0,0.138630204587597,0.147768892204807,0,0.0155582579680546,0,0,0,0.0125190314780969
0,0.0175432948027989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423743542161313,0,0,0,0.162382296202719,0.224244831413042,0.0746879269413748,0.0436264845138736,0.0496950343822143,0.138630204587597,0,0.16942629180467,0,0,0.0266597306907326,0,0.0431627610235977,0
0,0,0.00421158982340511,0,0,0,0,0,0,0,0,0.0254738672433481,0.0589403026853456,0.0349186423070548,0.0138733146720328,0,0,0,0,0,0,0,0,0,0.0365587388932957,0,0.0795560505430439,0.0168654011221112,0.0578547574054303,0.0712803828809591,0.0931815274861907,0.154907664001964,0.147768892204807,0.16942629180467,0,0.0713939773488056,0,0,0,0,0.0245385931966259
0,0,-0.00386824809149817,0,0,0,0,0,0,0,0,0.0158392926112834,0,0.00789175531049093,0.0318454670357044,0,0,0.0221432383973035,0.0475609688356686,0,0,0.00867324226226792,0.0994454729290266,0.0645219260396279,0,0.23445378148408,0.0475701319397847,0,0,0.0245525432054474,0.0868217790866406,0.0198898317818315,0,0,0.0713939773488056,0,0,0,0,0.00317802690537349,0
0,0,0,0,0,0.0664004324911916,0,0,0,0,0,0,0,0,0,-0.0115243386058646,0,0,0,0,0.00870543503752362,0,0,0,0,0,0,0,0,0,0,0.00333594627024323,0.0155582579680546,0,0,0,0,0.248712540312294,0.0591595196414101,0.179831025985352,0
